Feature	N	A	V	AV
Histogramme saturation 4	0.550425280542884	5.530477403159718	1.1308921438288375	4.780236942926018
Histogramme saturation 5	0.28543665249291605	2.3617507623968255	1.0613152715603646	3.17059064083354
Histogramme saturation 6	1.3322598685544607	20.046744123605926	6.419009591685071	14.349638733412213
Histogramme saturation 7	0.9816626747643495	9.990693940440035	0.09013687845934763	6.18906690963515
Histogramme saturation 8	1.523570621259129	14.876673150048099	2.888543055265669	13.047735242572818
Histogramme saturation 9	1.689706999303519	13.560353767524859	1.6891038718834865	13.37576296883684
Histogramme saturation 10	0.36022883411947154	5.077437827149518	1.0244979932287175	3.1128737254287464
Histogramme saturation 11	1.3190879673429436	10.4271861397035	1.16774099504434	10.300187884893322
Histogramme saturation 12	0.4530378083088994	0.6235281672541338	0.7475374319457951	2.8851752728324525
Histogramme saturation 13	0.237838766055557	1.6403368700944347	0.2575443390175229	1.3556470065036177
Histogramme saturation 14	0.601851343059607	2.8732667818737463	1.0371019893566027	3.281177501567893
Histogramme saturation 15	0.30162046136744197	2.243990216531498	0.09052934518053266	1.9616823536586385
Histogramme rouge 0	0.06960185529019412	0.43940245059736144	0.038477430157886086	0.4507740540290241
Histogramme rouge 1	2.7644797810029345	24.89255680282443	2.4168444272249476	20.808347747968355
Histogramme rouge 2	7.050517284461737	60.09396306656201	3.4223506821412073	50.61722739361033
Histogramme rouge 3	2.4835399330796375	19.490233923501293	0.5596473589497618	16.12745543105744
Histogramme rouge 4	1.6630198394052433	11.700987916619573	2.289544023717359	8.837762336334821
Histogramme rouge 5	0.14674591198464665	5.016594979565215	0.8563213787735974	1.0737841824103034
Histogramme rouge 6	2.2702060824344197	20.4501569144819	2.423750454966358	17.611177834189625
Histogramme rouge 7	0.9283976672430468	7.2733141212352	0.30567105745393797	6.647844062011661
Histogramme rouge 8	0.6247333425258721	7.57460538371975	3.0325535116476594	7.2014621935201735
Histogramme rouge 9	2.9598468210721682	23.13027633885852	2.062957216671155	22.510534141553087
Histogramme rouge 10	1.2641154832676962	12.254151023708884	2.7494670152530074	11.26966102796481
Histogramme rouge 11	0.35237371038982945	1.1105071497864132	0.014979531452058248	2.8050057287440042
Histogramme rouge 12	1.9642215102624245	22.986225320686273	0.26701600157418137	11.756368691255227
Histogramme rouge 13	0.17640046927473793	0.8843231030206906	0.8333204488365435	2.3120955190170545
Histogramme rouge 14	1.7629029623404442	9.834108115199493	1.8719325576122396	10.659855013625755
Histogramme rouge 15	1.1601292871506697	10.454181394273332	1.8241799058873291	9.699447765379881
Histogramme luminosité 0	0.1135071378364154	1.6078006212528282	0.3480330548997633	1.00909658052964
Histogramme luminosité 1	0.6815916548727917	9.143812854484635	2.0952179540674436	6.190494729394124
Histogramme luminosité 2	8.116526234076971	83.77123199769446	16.78988721154302	70.0835837315409
Histogramme luminosité 3	2.767144302225541	31.013256752275343	5.642322038876589	23.196783307236505
Histogramme luminosité 4	3.221647850791822	36.28898034192377	5.875525461028194	26.132708274418185
Histogramme luminosité 5	0.1254462372348253	12.92538558059984	5.791582617289782	4.863499471184645
Histogramme luminosité 6	2.424374826505175	28.074023918981162	7.506998282730497	23.1702986380663
Histogramme luminosité 7	0.19471975670176636	0.8311056047701396	0.007992199335107524	1.4774978774359713
Histogramme luminosité 8	3.930985264598533	23.904028588214814	2.824936797494875	24.90178004387726
Histogramme luminosité 9	2.2289715519058517	6.974791689969118	7.825518145005315	8.279434025261494
Histogramme luminosité 10	7.777102480177589	50.816496547899334	18.127532810846592	76.78079257509059
Histogramme luminosité 11	1.5831868619157223	18.52125125213727	0.24815776905290887	9.516636041161439
Histogramme luminosité 12	3.038335461435901	32.783466220905375	0.4989074891582968	18.964591625221598
Histogramme luminosité 13	0.5442698777845683	3.790450440461986	0.8758008847171782	4.84626780701852
Histogramme luminosité 14	3.533775652727552	26.967033211987918	2.5981185171416548	27.19534739244484
Histogramme luminosité 15	0.3390470228626824	8.218918894709137	2.5504094718569212	3.9880189791306737
